"","rules","support","confidence","lift","count"
"1","{FloatFood} => {Ice.Cream.ConeFood}",0.0070245334451667,0.708994708994709,6.35563114134543,134
"2","{Side.of.CheeseFood} => {Hot.DogFood}",0.00629062696582093,0.923076923076923,21.6056630486078,120
"3","{SandwichFood} => {French.Fries.BasketFood}",0.00765359614174879,0.682242990654206,6.98950982262064,146
"4","{Hot.Chocolate.Souvenir.RefillFood} => {Hot.Chocolate.SouvenirFood}",0.0149926609352065,0.559686888454012,13.1809717088256,286
"5","{Hot.Chocolate.SouvenirFood} => {Hot.Chocolate.Souvenir.RefillFood}",0.0149926609352065,0.353086419753086,13.1809717088256,286
"6","{Burger.BasketFood} => {Cheeseburger.BasketFood}",0.00513734535542042,0.26063829787234,4.04222452862827,98
"7","{Cheese.ConeyFood} => {Hot.DogFood}",0.0111658628643321,0.422619047619048,9.89187846917908,213
"8","{Hot.DogFood} => {Cheese.ConeyFood}",0.0111658628643321,0.261349693251534,9.89187846917908,213
"9","{Cheese.ConeyFood} => {Medium.DrinkFood}",0.00833508072971273,0.31547619047619,2.09614204441791,159
"10","{ToppingFood} => {Ice.Cream.ConeFood}",0.0285699308031034,0.998168498168498,8.94786760858189,545
"11","{Ice.Cream.ConeFood} => {ToppingFood}",0.0285699308031034,0.256109022556391,8.94786760858189,545
"12","{IceeFood} => {Ice.Cream.ConeFood}",0.0105368001677501,0.309230769230769,2.77203296703297,201
"13","{Grilled.Chicken.Sandwich.BasketFood} => {Cheeseburger.BasketFood}",0.0070245334451667,0.31980906921241,4.95990065389914,134
"14","{Add.CheeseFood} => {Soft.Pretzel..3_39Food}",0.019133990354372,0.696564885496183,7.60164288084965,365
"15","{Rice.Krispie.TreatFood} => {Krazy.KritterFood}",0.00634304885720277,0.25,2.82189349112426,121
"16","{Rice.Krispie.TreatFood} => {Slice.of.CheeseFood}",0.00691968966240302,0.272727272727273,1.69353693181818,132
"17","{MilkFood} => {Slice.of.CheeseFood}",0.00854476829524009,0.337474120082816,2.09559124827467,163
"18","{Chicken.TendersFood} => {Krazy.KritterFood}",0.00592367372614804,0.259770114942529,2.93217438617969,113
"19","{Chicken.TendersFood} => {French.Fries.BasketFood}",0.0172992241560075,0.758620689655172,7.77199155524279,330
"20","{Chicken.TendersFood} => {Small.DrinkFood}",0.0058712518347662,0.257471264367816,1.77375292130027,112
"21","{Chicken.TendersFood} => {Slice.of.CheeseFood}",0.00618578318305724,0.271264367816092,1.6844528256705,118
"22","{CheeseburgerFood} => {Krazy.KritterFood}",0.00618578318305724,0.29064039408867,3.28062494534643,118
"23","{CheeseburgerFood} => {French.Fries.BasketFood}",0.0168798490249528,0.793103448275862,8.12526389866291,322
"24","{CheeseburgerFood} => {Medium.DrinkFood}",0.00592367372614804,0.278325123152709,1.84929642955802,113
"25","{CheeseburgerFood} => {Slice.of.CheeseFood}",0.00602851750891172,0.283251231527094,1.75888687910509,115
"26","{Gourmet.CupFood} => {Krazy.KritterFood}",0.0090689872090585,0.38963963963964,4.39808625193241,173
"27","{Gourmet.CupFood} => {Slice.of.CheeseFood}",0.00864961207800377,0.371621621621622,2.30763478322072,165
"28","{Chicken.Nugget.BasketFood} => {Cheeseburger.BasketFood}",0.0142587544558608,0.385815602836879,5.98359222741164,272
"29","{Sandwich.BasketFood} => {Krazy.KritterFood}",0.0105892220591319,0.295754026354319,3.33834544777219,202
"30","{Sandwich.BasketFood} => {Small.DrinkFood}",0.00901656531767666,0.251830161054173,1.73489062920527,172
"31","{Sandwich.BasketFood} => {Medium.DrinkFood}",0.00948836234011323,0.265007320644217,1.76080795841487,181
"32","{Sandwich.BasketFood} => {Slice.of.CheeseFood}",0.0127385196057874,0.355783308931186,2.20928463579795,243
"33","{ChipsFood} => {Slice.of.PeppFood}",0.0142587544558608,0.312284730195178,2.53064720187052,272
"34","{ChipsFood} => {Slice.of.CheeseFood}",0.0175089117215349,0.383467278989667,2.38119199674703,334
"35","{CookieFood} => {Slice.of.CheeseFood}",0.0112707066470958,0.25779376498801,1.60080529326539,215
"36","{Hot.DogFood} => {French.Fries.BasketFood}",0.0115852379953869,0.271165644171779,2.77806435457619,221
"37","{Hot.DogFood} => {Medium.DrinkFood}",0.0109561752988048,0.256441717791411,1.70389488282444,209
"38","{Hot.Dog.BasketFood} => {Cheeseburger.BasketFood}",0.0128957852799329,0.288056206088993,4.46744730679157,246
"39","{Chicken.Tender.BasketFood} => {Small.DrinkFood}",0.0149402390438247,0.271946564885496,1.87347514328484,285
"40","{Chicken.Tender.BasketFood} => {Medium.DrinkFood}",0.0160410987628434,0.291984732824427,1.94005599559693,306
"41","{Krazy.KritterFood} => {French.Fries.BasketFood}",0.022436569511428,0.253254437869822,2.59456587368675,428
"42","{Krazy.KritterFood} => {Slice.of.PeppFood}",0.022751100859719,0.256804733727811,2.08105654230744,434
"43","{Krazy.KritterFood} => {Slice.of.CheeseFood}",0.0302474313273223,0.341420118343195,2.12009445882643,577
"44","{French.Fries.BasketFood} => {Slice.of.CheeseFood}",0.0278884462151394,0.285714285714286,1.77418154761905,532
"45","{Slice.of.PeppFood} => {Slice.of.CheeseFood}",0.0608618158943175,0.493203058623619,3.06261118043755,1161
"46","{Slice.of.CheeseFood} => {Slice.of.PeppFood}",0.0608618158943175,0.3779296875,3.06261118043755,1161
"47","{Small.DrinkFood} => {Slice.of.CheeseFood}",0.0376389180121619,0.259299386059949,1.61015465119779,718
"48","{Chicken.TendersFood,Krazy.KritterFood} => {French.Fries.BasketFood}",0.00566156426923883,0.955752212389381,9.79158389019325,108
"49","{Chicken.TendersFood,French.Fries.BasketFood} => {Krazy.KritterFood}",0.00566156426923883,0.327272727272727,3.69411511565358,108
"50","{French.Fries.BasketFood,Krazy.KritterFood} => {Chicken.TendersFood}",0.00566156426923883,0.252336448598131,11.0656783757654,108
"51","{Chicken.TendersFood,French.Fries.BasketFood} => {Slice.of.CheeseFood}",0.00539945481232963,0.312121212121212,1.93815893308081,103
"52","{Chicken.TendersFood,Slice.of.CheeseFood} => {French.Fries.BasketFood}",0.00539945481232963,0.872881355932203,8.94258042199931,103
"53","{CheeseburgerFood,Krazy.KritterFood} => {French.Fries.BasketFood}",0.00545187670371147,0.88135593220339,9.02940159114493,104
"54","{CheeseburgerFood,French.Fries.BasketFood} => {Krazy.KritterFood}",0.00545187670371147,0.322981366459627,3.64567606306737,104
"55","{CheeseburgerFood,French.Fries.BasketFood} => {Medium.DrinkFood}",0.00518976724680226,0.307453416149068,2.04283572499465,99
"56","{CheeseburgerFood,Medium.DrinkFood} => {French.Fries.BasketFood}",0.00518976724680226,0.876106194690266,8.97561856601047,99
"57","{CheeseburgerFood,French.Fries.BasketFood} => {Slice.of.CheeseFood}",0.00524218913818411,0.31055900621118,1.92845820393375,100
"58","{CheeseburgerFood,Slice.of.CheeseFood} => {French.Fries.BasketFood}",0.00524218913818411,0.869565217391304,8.90860692102928,100
"59","{ChipsFood,Slice.of.PeppFood} => {Slice.of.CheeseFood}",0.00828265883833089,0.580882352941177,3.6070676317402,158
"60","{ChipsFood,Slice.of.CheeseFood} => {Slice.of.PeppFood}",0.00828265883833089,0.473053892215569,3.83346476121673,158
"61","{Slice.of.PeppFood,Souvenir.RefillFood} => {Slice.of.CheeseFood}",0.00534703292094779,0.476635514018692,2.95973276869159,102
"62","{Slice.of.CheeseFood,Souvenir.RefillFood} => {Slice.of.PeppFood}",0.00534703292094779,0.421487603305785,3.41558943103702,102
"63","{GatoradeFood,Slice.of.PeppFood} => {Slice.of.CheeseFood}",0.0101174250366953,0.583081570996979,3.62072397406848,193
"64","{GatoradeFood,Slice.of.CheeseFood} => {Slice.of.PeppFood}",0.0101174250366953,0.483709273182957,3.91981227495246,193
"65","{French.Fries.BasketFood,Souvenir.DrinkFood} => {Slice.of.CheeseFood}",0.00503250157265674,0.356877323420074,2.2160780669145,96
"66","{Slice.of.CheeseFood,Souvenir.DrinkFood} => {French.Fries.BasketFood}",0.00503250157265674,0.253968253968254,2.60187884677681,96
"67","{Slice.of.PeppFood,Souvenir.DrinkFood} => {Slice.of.CheeseFood}",0.00812539316418536,0.503246753246753,3.12497886228355,155
"68","{Slice.of.CheeseFood,Souvenir.DrinkFood} => {Slice.of.PeppFood}",0.00812539316418536,0.41005291005291,3.32292664068365,155
"69","{French.Fries.BasketFood,Krazy.KritterFood} => {Slice.of.PeppFood}",0.00602851750891172,0.268691588785047,2.17738349518418,115
"70","{Krazy.KritterFood,Slice.of.PeppFood} => {French.Fries.BasketFood}",0.00602851750891172,0.264976958525346,2.71466190162701,115
"71","{French.Fries.BasketFood,Slice.of.PeppFood} => {Krazy.KritterFood}",0.00602851750891172,0.305039787798409,3.44315916688902,115
"72","{French.Fries.BasketFood,Krazy.KritterFood} => {Small.DrinkFood}",0.00571398616062068,0.254672897196262,1.75447460704799,109
"73","{Krazy.KritterFood,Small.DrinkFood} => {French.Fries.BasketFood}",0.00571398616062068,0.299450549450549,3.06784032294236,109
"74","{French.Fries.BasketFood,Small.DrinkFood} => {Krazy.KritterFood}",0.00571398616062068,0.258907363420428,2.92243601456099,109
"75","{French.Fries.BasketFood,Krazy.KritterFood} => {Medium.DrinkFood}",0.0061333612916754,0.273364485981308,1.8163360970322,117
"76","{Krazy.KritterFood,Medium.DrinkFood} => {French.Fries.BasketFood}",0.0061333612916754,0.284671532846715,2.916430805899,117
"77","{French.Fries.BasketFood,Medium.DrinkFood} => {Krazy.KritterFood}",0.0061333612916754,0.286764705882353,3.2368778280543,117
"78","{French.Fries.BasketFood,Krazy.KritterFood} => {Slice.of.CheeseFood}",0.00933109666596771,0.41588785046729,2.58251192562305,178
"79","{Krazy.KritterFood,Slice.of.CheeseFood} => {French.Fries.BasketFood}",0.00933109666596771,0.308492201039861,3.16047112085736,178
"80","{French.Fries.BasketFood,Slice.of.CheeseFood} => {Krazy.KritterFood}",0.00933109666596771,0.334586466165414,3.77666948436179,178
"81","{Krazy.KritterFood,Small.DrinkFood} => {Slice.of.PeppFood}",0.00524218913818411,0.274725274725275,2.22627839450269,100
"82","{Krazy.KritterFood,Slice.of.PeppFood} => {Medium.DrinkFood}",0.0058712518347662,0.258064516129032,1.71467736317569,112
"83","{Krazy.KritterFood,Medium.DrinkFood} => {Slice.of.PeppFood}",0.0058712518347662,0.272506082725061,2.20829483180257,112
"84","{Krazy.KritterFood,Slice.of.PeppFood} => {Slice.of.CheeseFood}",0.0112707066470958,0.495391705069124,3.07620187692012,215
"85","{Krazy.KritterFood,Slice.of.CheeseFood} => {Slice.of.PeppFood}",0.0112707066470958,0.37261698440208,3.01955887614871,215
"86","{Krazy.KritterFood,Small.DrinkFood} => {Slice.of.CheeseFood}",0.00744390857622143,0.39010989010989,2.42244019001832,142
"87","{Krazy.KritterFood,Medium.DrinkFood} => {Slice.of.CheeseFood}",0.0070245334451667,0.326034063260341,2.02455266626115,134
"88","{Bottled.WaterFood,Krazy.KritterFood} => {Slice.of.CheeseFood}",0.00602851750891172,0.345345345345345,2.14446868743744,115
"89","{French.Fries.BasketFood,Slice.of.PeppFood} => {Small.DrinkFood}",0.00608093940029356,0.307692307692308,2.11973219990555,116
"90","{French.Fries.BasketFood,Small.DrinkFood} => {Slice.of.PeppFood}",0.00608093940029356,0.275534441805226,2.23283560402569,116
"91","{French.Fries.BasketFood,Slice.of.PeppFood} => {Slice.of.CheeseFood}",0.0090689872090585,0.458885941644562,2.84951439544651,173
"92","{French.Fries.BasketFood,Slice.of.CheeseFood} => {Slice.of.PeppFood}",0.0090689872090585,0.325187969924812,2.63521058380871,173
"93","{French.Fries.BasketFood,Small.DrinkFood} => {Slice.of.CheeseFood}",0.00843992451247641,0.382422802850356,2.37470618072051,161
"94","{French.Fries.BasketFood,Slice.of.CheeseFood} => {Small.DrinkFood}",0.00843992451247641,0.302631578947368,2.08486818345973,161
"95","{French.Fries.BasketFood,Medium.DrinkFood} => {Slice.of.CheeseFood}",0.00671000209687566,0.313725490196078,1.94812091503268,128
"96","{Bottled.WaterFood,French.Fries.BasketFood} => {Slice.of.CheeseFood}",0.00534703292094779,0.323809523809524,2.01073908730159,102
"97","{Slice.of.PeppFood,Small.DrinkFood} => {Slice.of.CheeseFood}",0.0142587544558608,0.496350364963504,3.0821548053528,272
"98","{Slice.of.CheeseFood,Small.DrinkFood} => {Slice.of.PeppFood}",0.0142587544558608,0.37883008356546,3.06990767803513,272
"99","{Medium.DrinkFood,Slice.of.PeppFood} => {Slice.of.CheeseFood}",0.0136296917592787,0.527383367139959,3.27485843475321,260
"100","{Medium.DrinkFood,Slice.of.CheeseFood} => {Slice.of.PeppFood}",0.0136296917592787,0.442176870748299,3.58324808258053,260
"101","{Bottled.WaterFood,Slice.of.PeppFood} => {Slice.of.CheeseFood}",0.0106940658418956,0.515151515151515,3.19890309343434,204
"102","{Bottled.WaterFood,Slice.of.CheeseFood} => {Slice.of.PeppFood}",0.0106940658418956,0.366906474820144,2.97328288601065,204
"103","{Medium.DrinkFood,Small.DrinkFood} => {Slice.of.CheeseFood}",0.00608093940029356,0.280193236714976,1.73989784621578,116
"104","{Bottled.WaterFood,Small.DrinkFood} => {Slice.of.CheeseFood}",0.00571398616062068,0.273869346733668,1.70062879501675,109
